name,nationality,birthday
Robert Downey Jr.,USA,1965-04-04
Chris Evans,USA,1981-06-13
Scarlett Johansson,USA,1984-11-22
Chris Hemsworth,USA,1983-08-11
Mark Ruffalo,USA,1967-11-22
Tom Holland,USA,1996-06-01
Benedict Cumberbatch,USA,1976-07-19
Paul Rudd,USA,1969-04-06
Jeremy Renner,USA,1971-01-07
Chadwick Boseman,USA,1976-11-29
Brie Larson,USA,1989-10-01
Samuel L. Jackson,USA,1948-12-21
Elizabeth Olsen,USA,1989-02-16
Tom Hiddleston,USA,1981-02-09
Anthony Mackie,USA,1978-09-23
Sebastian Stan,USA,1982-08-13
Zoe Saldana,USA,1978-06-19
Dave Bautista,USA,1969-01-18
Josh Brolin,USA,1968-02-12
Chris Pratt,USA,1979-06-21
Vin Diesel,USA,1967-07-18
Bradley Cooper,USA,1975-01-05
Paul Bettany,USA,1971-05-27
Don Cheadle,USA,1964-11-29
Gwyneth Paltrow,USA,1972-09-27
Karen Gillan,USA,1987-11-28
Danai Gurira,USA,1978-02-14
Pom Klementieff,FRANCE,1986-05-03
Benedict Wong,USA,1970-06-03
Letitia Wright,USA,1993-10-31
Evangeline Lilly,USA,1979-08-03
Tessa Thompson,USA,1983-10-03
Cobie Smulders,USA,1982-04-03
Stan Lee,USA,1922-12-28
Jon Favreau,USA,1966-10-19
Taika Waititi,USA,1975-08-16
James Gunn,USA,1966-08-05
Zachary Levi,USA,1980-09-29
Dave Franco,USA,1985-06-12
Al Pacino,USA,1940-04-25
Marlon Brando,USA,1924-04-03
Leonardo DiCaprio,USA,1974-11-11
Matt Damon,USA,1970-10-08
Christian Bale,USA,1974-01-30
Morgan Freeman,USA,1937-06-01
Robert De Niro,USA,1943-08-17
Denzel Washington,USA,1954-12-28
Harrison Ford,USA,1942-07-13
Johnny Depp,USA,1963-06-09
Keanu Reeves,USA,1964-09-02
Wagner Moura,BRAZIL,1976-06-27
Rodrigo Santoro,BRAZIL,1975-08-22
Alice Braga,BRAZIL,1983-04-15
Sônia Braga,BRAZIL,1950-06-08
Bruno Gagliasso,BRAZIL,1982-04-13
Lázaro Ramos,BRAZIL,1978-11-01
Fernanda Montenegro,BRAZIL,1929-10-16
Camila Pitanga,BRAZIL,1977-06-14
Selton Mello,BRAZIL,1972-12-30
Marieta Severo,BRAZIL,1946-11-02
